sha256_ret,0000011
caseD_1b,00023d8
caseD_1c,00023e0
caseD_1d,00023e8
caseD_1e,00023f0
caseD_1f,00023f8
caseD_2,0002400
caseD_21,0002408
caseD_22,0002410
caseD_23,0002418
caseD_24,0002420
caseD_25,0002428
caseD_26,0002430
caseD_27,0002438
caseD_28,0002440
caseD_29,0002448
caseD_2a,0002450
caseD_2b,0002458
caseD_2c,0002460
caseD_2d,0002468
caseD_2e,0002470
caseD_2f,0002478
caseD_3,0002480
caseD_31,0002488
caseD_32,0002490
caseD_33,0002498
caseD_34,00024a0
caseD_35,00024a8
caseD_36,00024b0
caseD_37,00024b8
caseD_38,00024c0
caseD_39,00024c8
caseD_3a,00024d0
caseD_3b,00024d8
caseD_3c,00024e0
caseD_3d,00024e8
caseD_3e,00024f0
caseD_3f,00024f8
FUN_ucode_000251d,000251d
FUN_ucode_0002521,0002521
lots_of_ldat_ins,000257d
FUN_ucode_00025a5,00025a5
FUN_ucode_0002600,0002600
do_apply_ucode_patch,0002625
FUN_ucode_0002669,0002669
FUN_ucode_000266a,000266a
generate_#GP,0002711
FUN_ucode_0002712,0002712
FUN_ucode_0002735,0002735
generate_#UD,0002769
generate_#NM,0002771
FUN_ucode_0002799,0002799
FUN_ucode_00027ac,00027ac
FUN_ucode_00027ae,00027ae
patch_load_error,00027b4
uarch_bufs_ldat_init,00027c1
switch,00027da
ucode_update_invalid,00027dc
patch_apply_error,00027f1
FUN_ucode_000281d,000281d
FUN_ucode_0002899,0002899
FUN_ucode_000289a,000289a
thunk_FUN_ucode_0002712,00028ec
FUN_ucode_00028f5,00028f5
FUN_ucode_0002931,0002931
FUN_ucode_0002971,0002971
compute_ucode_sha_update,0002a99
FUN_ucode_0002ad0,0002ad0
lbsync_full,0002b15
FUN_ucode_0002bb0,0002bb0
FUN_ucode_0002bd1,0002bd1
FUN_ucode_0002bd8,0002bd8
patch_handle_0x07_write_uram,0002bde
FUN_ucode_0002c0d,0002c0d
FUN_ucode_0002c21,0002c21
FUN_ucode_0002cd9,0002cd9
FUN_ucode_0002d30,0002d30
check_rsa_padding_signature_and_patch,0002d72
FUN_ucode_0002df1,0002df1
